审核分类,审核要点,详细说明,风险等级,适用材料类型
广告法合规,绝对化用语,检查是否使用"最"、"第一"、"唯一"、"绝对"等绝对化用语,高,营销材料
广告法合规,虚假宣传,检查是否存在夸大功效、虚假承诺等虚假宣传内容,高,营销材料
广告法合规,对比广告,检查与竞品对比时是否有据可查，是否贬低竞争对手,高,营销材料
广告法合规,禁用词汇,检查是否使用广告法禁止的词汇（如"国家级"、"最高级"等）,高,营销材料
广告法合规,数据引用,检查引用的数据、统计结果是否有可靠来源,中,营销材料
广告法合规,代言人规范,检查代言人资质是否符合要求，代言内容是否真实,中,营销材料
价格标注,价格真实性,检查标注价格是否真实，是否存在虚假打折,高,营销材料
价格标注,原价标注,检查原价标注是否符合规定（需有交易记录）,中,营销材料
价格标注,促销规则,检查促销活动规则是否清晰完整,中,营销材料
价格标注,最终解释权,检查是否使用"最终解释权归XX所有"等违规表述,高,营销材料
知识产权,商标使用,检查商标使用是否获得授权，使用方式是否规范,高,营销材料
知识产权,版权内容,检查图片、文字、音视频等素材是否有合法版权,高,营销材料
知识产权,字体版权,检查使用的字体是否有商业授权,中,营销材料
知识产权,第三方素材,检查第三方素材使用是否获得许可,中,营销材料
隐私合规,个人信息收集,检查是否明示个人信息收集目的、方式、范围,高,营销材料
隐私合规,用户授权,检查收集用户信息前是否取得明确授权,高,营销材料
隐私合规,数据安全,检查是否说明数据安全保护措施,中,营销材料
内容规范,导向正确,检查内容是否符合社会主义核心价值观,高,营销材料
内容规范,文化敏感,检查是否涉及政治、宗教、民族等敏感话题,高,营销材料
内容规范,低俗内容,检查是否存在低俗、色情、暴力等不良内容,高,营销材料
内容规范,医疗健康,检查健康相关宣传是否符合规定，是否有资质要求,高,营销材料
特殊行业,金融合规,检查金融产品宣传是否符合监管要求,高,营销材料
特殊行业,食品药品,检查食品药品宣传是否符合相关法规,高,营销材料
特殊行业,教育培训,检查教育培训宣传是否真实合规,中,营销材料
用户权益,退换货政策,检查退换货政策是否明确、是否符合法规,中,营销材料
用户权益,售后服务,检查售后服务承诺是否真实可履行,中,营销材料
用户权益,投诉渠道,检查是否提供有效的投诉渠道,低,营销材料
